NGCC,1,5pF,113.113,60.8697,0.775231,0.768791,1.04135e+06,2.38984e-05,412.92283368110657,542.4442057609558
NGCC,1,10pF,98.2034,60.1566,0.699593,0.678758,1.04528e+06,2.80509e-05,671.6942992210388,812.564284324646
NGCC,1,20pF,107.458,62.1303,0.54251,0.575341,1.14804e+06,6.31551e-05,899.7695698738098,1032.9243595600128
NGCC,1,50pF,108.828,65.2804,0.783204,0.783875,1.0549e+06,0.00014381,442.83859372138977,584.876706123352
NGCC,1,100pF,86.0284,60.7593,0.640554,0.637487,1.12324e+06,0.000350549,524.9124901294708,672.0569593906403
NGCC,2,5pF,97.1792,71.8396,1.54676,1.53586,2.14139e+06,3.27937e-05,641.2678050994873,787.8921415805817
NGCC,2,10pF,104.16,61.8517,1.66321,1.64589,2.12539e+06,0.000142163,629.1701862812042,905.9328618049622
AZC,1,500pF,106.947,63.7719,0.032886,0.0326114,1.01186e+06,5.06558e-05,314.41043972969055,458.29681754112244
NGCC,2,20pF,96.3068,67.3794,1.63195,1.6264,2.2495e+06,7.91629e-05,429.69448733329773,563.0683438777924
AZC,1,1000pF,114.134,60.5486,0.0302188,0.0300389,1.01455e+06,1.78502e-05,383.06346464157104,524.4856643676758
NGCC,2,50pF,99.2374,62.0603,1.65459,1.65896,2.35671e+06,0.000349118,421.255823135376,553.9978020191193
NGCC,2,100pF,91.5128,61.7376,1.56294,1.55254,2.10287e+06,0.00046629,685.2257761955261,821.5221185684204
AZC,1,1500pF,107.14,62.1007,0.0818721,0.08125,1.0026e+06,2.89409e-05,325.7184114456177,468.23191022872925
NGCC,3,5pF,98.849,60.8824,2.73164,2.72192,4.14483e+06,0.000102934,342.1750056743622,479.80154609680176
AZC,1,5000pF,92.4404,60.1525,0.0408819,0.0405543,1.00623e+06,7.20177e-05,264.1608715057373,409.07281017303467
AZC,1,10000pF,107.859,60.3103,0.161946,0.141892,1.04173e+06,3.89688e-05,353.56490874290466,494.51031517982483
NGCC,3,10pF,101.069,60.1547,1.96109,1.94947,3.05536e+06,0.000119226,567.1651723384857,708.2697846889496
NGCC,3,20pF,88.8687,60.319,2.31299,2.29378,3.13751e+06,0.000272008,416.6860022544861,545.9415876865387
AZC,1,15000pF,98.1236,60.3996,0.0230909,0.0229099,1.04363e+06,7.59177e-05,652.0984795093536,937.5734567642212
NGCC,3,50pF,108.244,68.7409,2.25153,2.26752,3.65386e+06,0.000356281,422.57283186912537,563.3578765392303
NGCC,3,100pF,107.05,64.0455,1.88405,1.87855,3.3303e+06,0.00037399,432.647807598114,568.3045437335968
AZC,2,500pF,109.925,60.1228,0.057422,0.0570724,2.20043e+06,5.11334e-05,441.52726674079895,578.6506505012512
NGCC,4,5pF,86.7278,64.4861,2.42702,2.44849,4.12979e+06,6.32567e-05,501.2950713634491,773.4888141155243
AZC,2,1000pF,91.9497,62.7892,0.297448,0.293703,2.00691e+06,0.000107289,419.2447898387909,846.3014621734619
